cr_place_of_issue,City of issue
ABH,Abha
UNK,Al Bahah
BAK,Al bekairiyah
HUF,Al Hufuf
SAK,Al Jawf
MAJ,Al Majma'ah
UNK,Al 'Ula
UNK,Almathnab
MUB,Al-Mubarraz
UNK,An Nuayriyyah
UNK,Aqiq
ARA,Arar
BIS,Bisha
BUR,Buraidah
DAM,Dammam
UNK,Dwadmi
GUR,Gurayat
HAF,Hafr AlBatin
HAI,Ha'il
JED,Jeddah
UNK,Jubail
KHM,Khamis Mushayt
KHO,Khobar
MEC,Makkah
MED,Medina
RIY,Muzahmiyy
RIY,Muzahmiyya
NAJ,Najran
UNK,Qatif
RIY,Riyadh
SAF,Safwa City
SAI,Saihat
SAK,Sakakah
RIY,Shaqraa
SHA,Sharurah
TAB,Tabuk
TAI,Taif
UNA,Unaizah
UNK,Wadi Al Dawasir
YAN,Yanbu
MWH,Al Makhwah
ZUL,Zulfi
DHA,Dhahran
ABD,Sarat Abedah
RAS,Al Rass
QUN,Al Qunfudhah
JIZ,Jizan
KHR,Al Kharj
BAH,Baish
